Sentences,E,G,S,I
"Với vai trò ở cả mảng khách hàng doanh nghiệp và cá nhân, Ông Buckley có bề dày thành tích trong việc phát triển mối quan hệ chặt chẽ với khách hàng doanh nghiệp và chính phủ, đồng thời chuyển đổi hoạt động ngân hàng bán lẻ thông qua quan hệ đối tác bên ngoài và mô hình kinh doanh kỹ thuật số lấy khách hàng làm trọng tâm.",0,0,0,1
"Câu đã sửa đổi: Với kinh nghiệm dày dạn trong việc xây dựng, vận hành các nhà máy nhiệt điện đốt than cũng như liên tục mở rộng danh mục dự án này của chúng tôi, rõ ràng là sự tập trung và chuyên môn của nhóm chúng ta phù hợp với các cơ hội đầu tư tiềm năng cho các nhà máy nhiệt điện đốt than.",0,1,0,0
"Trong vài năm qua, ACB nhất quán khẳng định rằng nó sẽ không cấp vốn cho bất kỳ dự án nào có tác động tiêu cực đến môi trường.",1,0,0,0
"Trong năm 2019, cùng với sự mở rộng về loại hình kinh doanh ngành Dịch vụ Khách sạn - Nghỉ dưỡng (Hospitality), Phòng PRO bắt đầu quá trình sơ tuyển đối với 54 NCC áp dụng đầy đủ các tiêu chí đánh giá tác động môi trường trong công tác sơ tuyển và đánh giá chất lượng NCC có giao dịch trong năm qua.",1,0,0,0
Câu mục tiêu là để thu hút lượng khách truy cập đáng kể đến các điểm đến du lịch có chất lượng cao theo tiêu chuẩn quốc tế.,0,0,0,1
Mọi thỏa thuận được ký kết bởi Tập đoàn hoặc PL cùng các đối tác của mình phải bao gồm các điều khoản liên quan đến việc chống tham nhũng và sẽ chỉ định một quy trình để giải quyết bất kỳ trường hợp nào về hành vi tham nhũng trong tất cả các hoạt động của Tập đoàn.,0,1,0,0
Chương trình bảo vệ người lao động III - Sức khoẻ và an toàn tại nơi làm việc.,0,0,1,0
Tốt nghiệp ngành Kỹ thuật Hóa học tại Trường đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh.,0,0,0,1
Tấm thảm tái chế diện tích 60m² giúp giảm thiểu đáng kể việc phát thải khí nhà kính.,1,0,0,0
"Phần cuối cùng về lãnh đạo cao nhất và giao tiếp rộng rãi với họ được thêm vào để làm rõ mục tiêu truyền đạt các giá trị cốt lõi trong tổ chức, ngoài việc duy trì chúng giữa tất cả các cấp độ của tập đoàn.",0,1,0,0
"582 suất học bổng và tài trợ được trao để trang trải các chi phí học tập, với tổng số tiền là 13 triệu đô-la.",0,0,0,1
"Đối với việc xử lý các loại pin bị hỏng hóc, VinFast sẽ thu hồi và chuyển chúng sang nhà máy tái chế của Công ty Cổ phần Sản xuất Điện tử VinES (VinES).",0,0,1,0
"Ngày 18 tháng 4 năm 2013 đến ngày 12 tháng 6 năm 2014, ông là Phó Tổng Giám đốc tại Công ty Cổ phần VICOSTONE.",0,0,0,1
Để đảm bảo rằng cổ đông và nhà đầu tư tận hưởng đầy đủ tất cả các quyền lợi và lợi ích có sẵn cho họ.,0,1,0,0
"Kể từ khi được thành lập vào năm 2007, Vietjet đã liên tục hỗ trợ sự phát triển của thị trường và tạo điều kiện cho các công ty khởi nghiệp trong lĩnh vực hàng không.",0,0,1,0
"Hoạt động đầu tư của tập đoàn tuân thủ nguyên tắc an toàn và hiệu quả để tăng cường lợi ích của cổ đông, khách hàng và đảm bảo việc làm cũng như đời sống cho người lao động.",0,1,0,0
"Các trung tâm giám sát công việc từ xa, hoạt động được tổ chức tốt và tiến độ dự án được theo dõi chặt chẽ để đảm bảo sự thành công liên tục của họ.",0,1,0,0
"Các doanh nghiệp trong khu vực đóng góp đáng kể cho ngân sách địa phương, cung cấp việc làm cho hơn 260 cá nhân.",0,0,1,0
"Câu nói cuối cùng là: ""Thời gian của Báo cáo cho Năm Tài chính 2023"" (Từ ngày 1 tháng 1 năm 2023 đến ngày 31 tháng 12 năm 2023) "".",0,0,0,1
Đánh giá dựa trên một mẫu được chọn của các tài liệu liên quan đến tính toán và trình bày các chỉ số phát triển bền vững đã chọn.,0,0,0,1
"Theo đó, báo cáo tình hình tài chính hợp nhất, báo cáo kết quả hoạt động hợp nhất, báo cáo lưu chuyển tiền tệ hợp nhất và thuyết minh báo cáo tài chính hợp nhất được trình bày kèm theo và việc sử dụng báo cáo này không dành cho các đối tượng không được cung cấp thông tin về thủ tục, nguyên tắc và thông lệ kế toán tại Việt Nam; đồng thời, nội dung của báo cáo cũng không phù hợp với tình hình thực tế tài chính hợp nhất, kết quả kinh doanh và lưu chuyển tiền tệ theo quy định tại nước và lãnh thổ khác ngoài Việt Nam.",0,1,0,0
